['pVA418_38', 'pVA544_51']
['pVA418_38', 'pVA544_8']
['pVA418_38', 'pVA569_107']
['pVA418_38', 'pVA569_47']
['pVA418_38', 'pVA569_68']
['pVA418_38', 'pVA585_226']
['pVA418_38', 'pVA585_53']
['pVA418_38', 'pVA605_296']
['pVA418_38', 'pVA605_65']
['pVA418_38', 'pVA605_91']
['pVA418_38', 'pVA61_126']
['pVA418_38', 'pVA61_57']
['pVA418_38', 'pVA634_102']
['pVA418_38', 'pVA634_25']
['pVA418_38', 'pVA634_271']
['pVA418_38', 'pVA634_2']
['pVA418_38', 'pVA634_3']
['pVA418_38', 'pVA634_4']
['pVA418_38', 'pVA634_54']
['pVA418_38', 'pVA634_6']
['pVA418_38', 'pVA634_75']
['pVA418_38', 'pVA692_270']
['pVA418_38', 'pVA692_2']
['pVA418_38', 'pVA692_45']
['pVA418_38', 'pVA692_4']
['pVA418_38', 'pVA754_184']
