========================================================================
  COMPOSITE CENTRALITY RANKING  —  Community 0
  Generated: 2026-07-14 20:52:59
========================================================================

Method: z-score composite of 4 centrality measures
  Measures : degree (norm) · betweenness (norm) · closeness (WF) · eigenvector
  log1p    : YES — applied before z-scoring
  z-score  : (x - mean) / std  per measure across all nodes
  Composite: mean of the four z-scores
  Rank 1   : highest composite score

When to use --use-log1p:
  Betweenness and degree are often right-skewed in plasmid
  networks (hub nodes dominate).  log1p(x) compresses the
  tail and gives non-hub nodes more discriminating z-scores.
  Use it when skewness > 2 or when the ranking looks dominated
  by hub nodes across all four measures.

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  FULL GRAPH (with hub nodes)
  152 nodes
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  Rank  Node                               Deg     Bwn     Cls     Eig   Deg_z   Bwn_z   Cls_z   Eig_z     Comp  Bio         
    44  pVA1393_45                       0.156   0.000   0.289   0.174   0.914  -0.401   0.300  -0.176   0.1591  klebsiella  
    49  pVA2464_46                       0.156   0.000   0.289   0.174   0.914  -0.401   0.300  -0.176   0.1591  none        
    49  pVA605_91                        0.156   0.000   0.289   0.174   0.914  -0.401   0.300  -0.176   0.1591  all_beta    
    49  pVA527_45                        0.156   0.000   0.289   0.174   0.914  -0.401   0.300  -0.176   0.1591  klebsiella  
    49  pVA634_54                        0.156   0.000   0.289   0.174   0.914  -0.401   0.300  -0.176   0.1591  all_beta    
    49  pVA418_56                        0.156   0.000   0.289   0.174   0.914  -0.401   0.300  -0.176   0.1591  none        
    49  pVA1686_54                       0.156   0.000   0.289   0.174   0.914  -0.401   0.300  -0.176   0.1591  all_beta    
    56  pVA1825_54                       0.156   0.000   0.289   0.174   0.914  -0.401   0.300  -0.176   0.1591  all_beta    
    56  pVA1565_46                       0.156   0.000   0.289   0.174   0.914  -0.401   0.300  -0.176   0.1591  none        
    56  pVA2067_45                       0.156   0.000   0.289   0.174   0.914  -0.401   0.300  -0.176   0.1591  all_beta    
    56  pVA524_46                        0.156   0.000   0.289   0.174   0.914  -0.401   0.300  -0.176   0.1591  all_beta    
    56  pVA436_54                        0.156   0.000   0.289   0.174   0.914  -0.401   0.300  -0.176   0.1591  all_beta    
    56  pVA1046_46                       0.156   0.000   0.289   0.174   0.914  -0.401   0.300  -0.176   0.1591  none        
    56  pVA1505_46                       0.156   0.000   0.289   0.174   0.914  -0.401   0.300  -0.176   0.1591  klebsiella  
    56  pVA1722_46                       0.156   0.000   0.289   0.174   0.914  -0.401   0.300  -0.176   0.1591  all_beta    
    61  pVA767_46                        0.156   0.000   0.289   0.174   0.914  -0.401   0.300  -0.176   0.1591  klebsiella  
    62  pVA1046_199                      0.095   0.015   0.324   0.157   0.055   0.177   0.594  -0.239   0.1467  none        
    63  pVA1565_200                      0.095   0.015   0.324   0.157   0.055   0.177   0.594  -0.239   0.1467  none        
    64  pVA2589_99                       0.075   0.011   0.337   0.238  -0.243   0.017   0.699   0.048   0.1303  klebsiella  
    65  pVA1101_40                       0.150   0.000   0.279   0.166   0.821  -0.402   0.220  -0.207   0.1079  none        
    66  pIH359_178                       0.088   0.012   0.323   0.156  -0.044   0.070   0.586  -0.243   0.0925  klebsiella  
    67  pVA418_110                       0.068   0.017   0.315   0.204  -0.343   0.262   0.518  -0.069   0.0920  none        
    68  pReSeq_VA61_126_B                0.102   0.001   0.289   0.298   0.152  -0.366   0.306   0.248   0.0850  all_beta    
    69  pVA2067_271                      0.102   0.001   0.289   0.298   0.152  -0.366   0.306   0.248   0.0850  all_beta    
    70  pVA634_271                       0.102   0.001   0.289   0.298   0.152  -0.366   0.306   0.248   0.0850  all_beta    
    71  pIH359_23                        0.054   0.028   0.320   0.085  -0.546   0.683   0.563  -0.516   0.0461  klebsiella  
    72  pVA2589_21                       0.054   0.028   0.320   0.085  -0.546   0.683   0.563  -0.516   0.0461  klebsiella  
    73  pVA1788_21                       0.054   0.028   0.320   0.085  -0.546   0.683   0.563  -0.516   0.0461  none        
    74  pVA634_102                       0.068   0.000   0.314   0.230  -0.343  -0.391   0.511   0.020  -0.0507  all_beta    
    74  pVA1626_87                       0.068   0.000   0.314   0.230  -0.343  -0.391   0.511   0.020  -0.0507  all_beta    
    76  pVA2588_87                       0.068   0.000   0.314   0.230  -0.343  -0.391   0.511   0.020  -0.0507  none        
    76  pVA2817_112                      0.068   0.000   0.314   0.230  -0.343  -0.391   0.511   0.020  -0.0507  klebsiella  
    78  pIH290_84                        0.054   0.006   0.315   0.165  -0.546  -0.155   0.518  -0.212  -0.0986  all_beta    
    79  pVA1788_53                       0.061   0.002   0.323   0.157  -0.444  -0.311   0.586  -0.240  -0.1020  none        
    80  pVA569_47                        0.054   0.007   0.303   0.177  -0.546  -0.141   0.419  -0.166  -0.1085  klebsiella  
    81  pVA2589_86                       0.048   0.008   0.321   0.139  -0.648  -0.083   0.571  -0.307  -0.1166  none        
    82  pVA1626_4                        0.054   0.035   0.245   0.003  -0.546   0.920  -0.073  -0.848  -0.1366  none        
    83  pVA569_107                       0.041   0.000   0.319   0.228  -0.751  -0.388   0.556   0.013  -0.1425  none        
    84  pIH359_5                         0.061   0.027   0.258   0.012  -0.444   0.646   0.036  -0.810  -0.1430  none        
    84  pVA2464_5                        0.061   0.027   0.258   0.012  -0.444   0.646   0.036  -0.810  -0.1430  none        
    86  pVA754_184                       0.068   0.009   0.278   0.110  -0.343  -0.060   0.208  -0.417  -0.1531  klebsiella  
    87  pVA527_214                       0.068   0.004   0.310   0.078  -0.343  -0.247   0.475  -0.543  -0.1645  none        
    88  pVA1835_363                      0.075   0.003   0.263   0.154  -0.243  -0.299   0.083  -0.252  -0.1777  none        
    89  pVA1722_375                      0.075   0.003   0.263   0.154  -0.243  -0.299   0.083  -0.252  -0.1777  none        
    90  pVA791_17                        0.054   0.000   0.283   0.169  -0.546  -0.402   0.250  -0.198  -0.2241  none        
    91  pVA3495_43                       0.027   0.009   0.309   0.117  -0.959  -0.064   0.468  -0.388  -0.2359  all_beta    
    92  pVA634_2                         0.041   0.006   0.297   0.078  -0.751  -0.160   0.371  -0.543  -0.2708  none        
    93  pVA1046_41                       0.041   0.002   0.260   0.153  -0.751  -0.320   0.052  -0.257  -0.3190  none        
    95  pVA569_68                        0.075   0.011   0.217   0.001  -0.243   0.032  -0.324  -0.855  -0.3475  none        
    95  pVA634_6                         0.075   0.011   0.217   0.001  -0.243   0.032  -0.324  -0.855  -0.3475  none        
    95  pVA2817_6                        0.075   0.011   0.217   0.001  -0.243   0.032  -0.324  -0.855  -0.3475  none        
    97  pVA634_75                        0.020   0.000   0.304   0.117  -1.064  -0.401   0.425  -0.391  -0.3578  all_beta    
    98  pVA1825_2                        0.034   0.003   0.282   0.075  -0.855  -0.276   0.244  -0.554  -0.3602  none        
    98  pVA1686_2                        0.034   0.003   0.282   0.075  -0.855  -0.276   0.244  -0.554  -0.3602  none        
   100  pVA418_38                        0.082   0.009   0.205   0.001  -0.143  -0.062  -0.432  -0.859  -0.3738  none        
   101  pVA767_225                       0.054   0.005   0.244   0.032  -0.546  -0.217  -0.087  -0.726  -0.3941  none        
   102  pVA765_4_A                       0.082   0.006   0.205   0.000  -0.143  -0.178  -0.432  -0.859  -0.4030  none        
   103  pVA418_180                       0.054   0.000   0.248   0.037  -0.546  -0.396  -0.049  -0.707  -0.4245  none        
   104  pVA2817_210                      0.054   0.000   0.247   0.037  -0.546  -0.401  -0.059  -0.708  -0.4283  klebsiella  
   105  pVA1626_171                      0.020   0.004   0.267   0.077  -1.064  -0.233   0.116  -0.546  -0.4317  all_beta    
   106  pVA692_4                         0.075   0.003   0.205   0.001  -0.243  -0.301  -0.435  -0.859  -0.4595  none        
   107  pIH359_74                        0.041   0.004   0.243   0.028  -0.751  -0.247  -0.097  -0.745  -0.4598  none        
   108  pVA1101_139                      0.014   0.000   0.285   0.076  -1.170  -0.402   0.268  -0.551  -0.4638  none        
   109  pVA2464_160                      0.041   0.000   0.246   0.029  -0.751  -0.402  -0.068  -0.739  -0.4903  none        
   110  pVA2682_9                        0.041   0.000   0.247   0.012  -0.751  -0.402  -0.064  -0.810  -0.5069  none        
   110  pVA1393_9                        0.041   0.000   0.247   0.012  -0.751  -0.402  -0.064  -0.810  -0.5069  none        
   112  pVA1101_2                        0.027   0.004   0.243   0.018  -0.959  -0.251  -0.092  -0.786  -0.5221  none        
   113  pVA1046_5                        0.061   0.001   0.204   0.000  -0.444  -0.367  -0.445  -0.860  -0.5290  none        
   114  pVA1101_21                       0.014   0.000   0.251   0.076  -1.170  -0.402  -0.025  -0.548  -0.5363  all_beta    
   115  pVA524_4_A                       0.061   0.000   0.200   0.000  -0.444  -0.387  -0.479  -0.860  -0.5422  none        
   116  pVA754_27                        0.020   0.000   0.252   0.031  -1.064  -0.402  -0.020  -0.730  -0.5541  klebsiella  
   117  pVA2817_162                      0.014   0.002   0.248   0.012  -1.170  -0.312  -0.049  -0.811  -0.5855  klebsiella  
   118  pVA1565_5                        0.048   0.000   0.203   0.000  -0.648  -0.384  -0.452  -0.860  -0.5859  none        
   119  pVA791_4                         0.048   0.000   0.200   0.000  -0.648  -0.398  -0.482  -0.860  -0.5970  none        
   120  pVA2067_4                        0.048   0.000   0.199   0.000  -0.648  -0.396  -0.485  -0.860  -0.5971  none        
   121  pVA1788_57                       0.014   0.000   0.243   0.014  -1.170  -0.402  -0.097  -0.801  -0.6175  none        
   122  pVA436_2_A                       0.020   0.000   0.223   0.009  -1.064  -0.402  -0.273  -0.821  -0.6402  none        
   123  pVA1565_35                       0.014   0.000   0.232   0.015  -1.170  -0.402  -0.190  -0.799  -0.6403  none        
   124  pIH290_6                         0.027   0.000   0.198   0.000  -0.959  -0.402  -0.495  -0.860  -0.6790  none        
   125  pVA2588_5                        0.027   0.000   0.197   0.000  -0.959  -0.402  -0.504  -0.860  -0.6815  none        
   126  pVA524_189                       0.020   0.001   0.199   0.003  -1.064  -0.365  -0.488  -0.848  -0.6911  none        
   127  pIH290_3                         0.034   0.000   0.176   0.000  -0.855  -0.402  -0.705  -0.860  -0.7055  none        
   128  pVA1101_4                        0.007   0.000   0.218   0.007  -1.276  -0.402  -0.320  -0.831  -0.7072  none        
   129  pVA754_5                         0.014   0.000   0.167   0.000  -1.170  -0.402  -0.783  -0.861  -0.8040  none        
   130  pVA754_9                         0.034   0.001   0.033   0.000  -0.855  -0.359  -2.112  -0.861  -1.0467  none        
   132  pVA1626_2                        0.027   0.000   0.026   0.000  -0.959  -0.402  -2.194  -0.861  -1.1041  none        
   132  pVA2067_2                        0.027   0.000   0.026   0.000  -0.959  -0.402  -2.194  -0.861  -1.1041  none        
   132  pVA528_2                         0.027   0.000   0.026   0.000  -0.959  -0.402  -2.194  -0.861  -1.1041  none        
   132  pVA692_2                         0.027   0.000   0.026   0.000  -0.959  -0.402  -2.194  -0.861  -1.1041  none        
   135  pVA754_3                         0.014   0.001   0.028   0.000  -1.170  -0.366  -2.171  -0.861  -1.1420  none        
   136  pVA754_4                         0.014   0.001   0.021   0.000  -1.170  -0.381  -2.245  -0.861  -1.1641  none        
   137  pVA527_3                         0.007   0.000   0.015   0.000  -1.276  -0.402  -2.306  -0.861  -1.2114  none        
   139  pReSeq_VA61_126_A                0.007   0.000   0.007   0.000  -1.276  -0.402  -2.396  -0.861  -1.2340  none        
   139  pVA61_126                        0.007   0.000   0.007   0.000  -1.276  -0.402  -2.396  -0.861  -1.2340  none        
   139  pVA1626_271                      0.007   0.000   0.007   0.000  -1.276  -0.402  -2.396  -0.861  -1.2340  none        
   139  pVA3495_318                      0.007   0.000   0.007   0.000  -1.276  -0.402  -2.396  -0.861  -1.2340  none        
   145  pVA1505_371                      0.000   0.000   0.000   0.000  -1.383  -0.402  -2.470  -0.861  -1.2793  none        
   145  pVA3495_148                      0.000   0.000   0.000   0.000  -1.383  -0.402  -2.470  -0.861  -1.2793  all_beta    
   145  pVA1835_189                      0.000   0.000   0.000   0.000  -1.383  -0.402  -2.470  -0.861  -1.2793  none        
   145  pVA524_199                       0.000   0.000   0.000   0.000  -1.383  -0.402  -2.470  -0.861  -1.2793  none        
   145  pVA528_96                        0.000   0.000   0.000   0.000  -1.383  -0.402  -2.470  -0.861  -1.2793  none        
   145  pVA605_65                        0.000   0.000   0.000   0.000  -1.383  -0.402  -2.470  -0.861  -1.2793  none        
   145  pVA765_74                        0.000   0.000   0.000   0.000  -1.383  -0.402  -2.470  -0.861  -1.2793  none        

========================================================================
